X_mm,Y_mm,Z_mm
50.0,0.0,0.0
49.809735,4.357787,0.0
49.240388,8.682409,0.0
48.296291,12.940952,0.0
46.984631,17.101007,0.0
45.315389,21.130913,0.0
43.30127,25.0,0.0
40.957602,28.678822,0.0
38.302222,32.13938,0.0
35.355339,35.355339,0.0
32.13938,38.302222,0.0
28.678822,40.957602,0.0
25.0,43.30127,0.0
21.130913,45.315389,0.0
17.101007,46.984631,0.0
12.940952,48.296291,0.0
8.682409,49.240388,0.0
4.357787,49.809735,0.0
0.0,50.0,0.0
-4.357787,49.809735,0.0
-8.682409,49.240388,0.0
-12.940952,48.296291,0.0
-17.101007,46.984631,0.0
-21.130913,45.315389,0.0
-25.0,43.30127,0.0
-28.678822,40.957602,0.0
-32.13938,38.302222,0.0
-35.355339,35.355339,0.0
-38.302222,32.13938,0.0
-40.957602,28.678822,0.0
-43.30127,25.0,0.0
-45.315389,21.130913,0.0
-46.984631,17.101007,0.0
-48.296291,12.940952,0.0
-49.240388,8.682409,0.0
-49.809735,4.357787,0.0
-50.0,0.0,0.0
-49.809735,-4.357787,0.0
-49.240388,-8.682409,0.0
-48.296291,-12.940952,0.0
-46.984631,-17.101007,0.0
-45.315389,-21.130913,0.0
-43.30127,-25.0,0.0
-40.957602,-28.678822,0.0
-38.302222,-32.13938,0.0
-35.355339,-35.355339,0.0
-32.13938,-38.302222,0.0
-28.678822,-40.957602,0.0
-25.0,-43.30127,0.0
-21.130913,-45.315389,0.0
-17.101007,-46.984631,0.0
-12.940952,-48.296291,0.0
-8.682409,-49.240388,0.0
-4.357787,-49.809735,0.0
-0.0,-50.0,0.0
4.357787,-49.809735,0.0
8.682409,-49.240388,0.0
12.940952,-48.296291,0.0
17.101007,-46.984631,0.0
21.130913,-45.315389,0.0
25.0,-43.30127,0.0
28.678822,-40.957602,0.0
32.13938,-38.302222,0.0
35.355339,-35.355339,0.0
38.302222,-32.13938,0.0
40.957602,-28.678822,0.0
43.30127,-25.0,0.0
45.315389,-21.130913,0.0
46.984631,-17.101007,0.0
48.296291,-12.940952,0.0
49.240388,-8.682409,0.0
49.809735,-4.357787,0.0
